created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2024-03-20T23:04:48+00:00,33,40,39,,,,field1 is greater than field2
2024-03-20T23:05:09+00:00,34,42,25,,,,field1 is greater than field2
2024-03-20T23:07:04+00:00,35,47,17,,,,field1 is greater than field2
2024-03-20T23:07:25+00:00,36,48,65,,,,field1 is less than field2
2024-03-20T23:07:45+00:00,37,49,43,,,,field1 is greater than field2
2024-03-20T23:09:12+00:00,38,45,39,,,,field1 is greater than field2
2024-03-20T23:10:08+00:00,39,12,27,,,,field1 is less than field2
2024-03-20T23:10:32+00:00,40,13,14,,,,field1 is less than field2
2024-03-20T23:10:52+00:00,41,14,88,,,,field1 is less than field2
2024-03-20T23:11:13+00:00,42,15,13,,,,field1 is greater than field2
2024-03-20T23:11:34+00:00,43,16,46,,,,field1 is less than field2
2024-03-20T23:11:57+00:00,44,17,11,,,,field1 is greater than field2
2024-03-20T23:12:18+00:00,45,18,88,,,,field1 is less than field2
2024-03-20T23:12:42+00:00,46,19,72,,,,field1 is less than field2
2024-03-20T23:13:02+00:00,47,20,38,,,,field1 is less than field2
2024-03-20T23:13:23+00:00,48,21,80,,,,field1 is less than field2
2024-03-20T23:13:43+00:00,49,22,64,,,,field1 is less than field2
2024-03-20T23:14:04+00:00,50,23,59,,,,field1 is less than field2
2024-03-20T23:14:24+00:00,51,24,75,,,,field1 is less than field2
2024-03-20T23:14:44+00:00,52,25,67,,,,field1 is less than field2
2024-03-20T23:15:05+00:00,53,26,54,,,,field1 is less than field2
2024-03-20T23:15:51+00:00,54,28,16,,,,field1 is greater than field2
2024-03-20T23:16:11+00:00,55,29,20,,,,field1 is greater than field2
2024-03-20T23:16:32+00:00,56,30,98,,,,field1 is less than field2
2024-03-21T19:28:19+00:00,57,29,33,,,,field1 is less than field2
2024-03-21T19:28:40+00:00,58,30,99,,,,field1 is less than field2
2024-03-21T19:29:00+00:00,59,31,77,,,,field1 is less than field2
2024-03-21T19:29:21+00:00,60,32,60,,,,field1 is less than field2
2024-03-21T19:29:41+00:00,61,33,23,,,,field1 is greater than field2
2024-03-21T19:30:02+00:00,62,34,46,,,,field1 is less than field2
2024-03-21T19:30:22+00:00,63,35,81,,,,field1 is less than field2
2024-03-21T19:30:43+00:00,64,36,13,,,,field1 is greater than field2
2024-03-21T19:31:03+00:00,65,37,70,,,,field1 is less than field2
2024-03-21T19:31:24+00:00,66,38,94,,,,field1 is less than field2
2024-03-21T19:31:45+00:00,67,39,59,,,,field1 is less than field2
2024-03-21T19:32:05+00:00,68,40,47,,,,field1 is less than field2
2024-03-21T19:32:25+00:00,69,41,62,,,,field1 is less than field2
2024-03-21T19:32:46+00:00,70,42,32,,,,field1 is greater than field2
2024-03-21T19:33:06+00:00,71,43,63,,,,field1 is less than field2
2024-03-21T19:33:27+00:00,72,44,95,,,,field1 is less than field2
2024-03-21T19:33:47+00:00,73,45,47,,,,field1 is less than field2
2024-03-21T19:34:08+00:00,74,46,46,,,,field1 equals field2
2024-03-21T19:34:28+00:00,75,47,47,,,,field1 equals field2
2024-03-21T19:34:49+00:00,76,48,6,,,,field1 is greater than field2
2024-03-21T19:35:09+00:00,77,49,8,,,,field1 is greater than field2
2024-03-21T19:35:30+00:00,78,50,26,,,,field1 is greater than field2
2024-03-21T19:35:50+00:00,79,51,73,,,,field1 is less than field2
2024-03-21T19:36:12+00:00,80,52,9,,,,field1 is greater than field2
2024-03-21T19:36:33+00:00,81,53,87,,,,field1 is less than field2
2024-03-21T19:36:54+00:00,82,54,65,,,,field1 is less than field2
2024-03-21T19:37:14+00:00,83,55,87,,,,field1 is less than field2
2024-03-21T19:37:35+00:00,84,56,82,,,,field1 is less than field2
2024-03-21T19:37:55+00:00,85,57,15,,,,field1 is greater than field2
2024-03-21T19:38:15+00:00,86,58,69,,,,field1 is less than field2
2024-03-21T19:38:36+00:00,87,59,98,,,,field1 is less than field2
2024-03-21T19:38:56+00:00,88,60,93,,,,field1 is less than field2
2024-03-21T19:39:16+00:00,89,61,1,,,,field1 is greater than field2
2024-03-21T19:39:37+00:00,90,62,61,,,,field1 is greater than field2
2024-03-21T19:39:57+00:00,91,63,50,,,,field1 is greater than field2
2024-03-21T19:40:18+00:00,92,64,16,,,,field1 is greater than field2
2024-03-21T19:40:39+00:00,93,65,16,,,,field1 is greater than field2
2024-03-21T19:40:59+00:00,94,66,67,,,,field1 is less than field2
2024-03-21T19:41:19+00:00,95,67,1,,,,field1 is greater than field2
2024-03-21T19:41:40+00:00,96,68,1,,,,field1 is greater than field2
2024-03-21T19:42:00+00:00,97,69,57,,,,field1 is greater than field2
2024-03-22T00:14:06+00:00,98,27,46,,,,field1 is less than field2
2024-03-22T00:14:27+00:00,99,28,68,,,,field1 is less than field2
2024-03-22T00:14:48+00:00,100,29,62,,,,field1 is less than field2
2024-03-22T00:15:19+00:00,101,30,9,,,,field1 is greater than field2
2024-03-22T00:15:39+00:00,102,31,17,,,,field1 is greater than field2
2024-03-22T00:15:56+00:00,103,36,2,,,,field1 is greater than field2
2024-03-22T00:16:17+00:00,104,37,69,,,,field1 is less than field2
2024-03-22T00:16:37+00:00,105,38,14,,,,field1 is greater than field2
2024-03-22T00:16:58+00:00,106,39,50,,,,field1 is less than field2
2024-03-22T00:17:18+00:00,107,40,93,,,,field1 is less than field2
2024-03-22T00:17:39+00:00,108,41,67,,,,field1 is less than field2
2024-03-22T00:17:59+00:00,109,42,53,,,,field1 is less than field2
2024-03-22T00:18:20+00:00,110,43,67,,,,field1 is less than field2
2024-03-22T00:18:41+00:00,111,44,52,,,,field1 is less than field2
2024-03-22T00:19:02+00:00,112,45,15,,,,field1 is greater than field2
2024-03-22T00:19:22+00:00,113,46,14,,,,field1 is greater than field2
2024-03-22T00:19:43+00:00,114,47,51,,,,field1 is less than field2
2024-03-22T00:20:03+00:00,115,48,85,,,,field1 is less than field2
2024-03-22T00:20:23+00:00,116,49,62,,,,field1 is less than field2
2024-03-22T00:20:44+00:00,117,50,11,,,,field1 is greater than field2
2024-03-22T00:21:04+00:00,118,51,53,,,,field1 is less than field2
2024-03-22T00:21:24+00:00,119,52,22,,,,field1 is greater than field2
2024-03-22T00:21:45+00:00,120,53,56,,,,field1 is less than field2
2024-03-22T00:22:05+00:00,121,54,65,,,,field1 is less than field2
2024-03-22T00:22:26+00:00,122,55,99,,,,field1 is less than field2
2024-03-22T00:22:47+00:00,123,56,52,,,,field1 is greater than field2
2024-03-22T00:23:07+00:00,124,57,49,,,,field1 is greater than field2
2024-03-22T00:23:27+00:00,125,58,72,,,,field1 is less than field2
2024-03-22T00:23:48+00:00,126,59,51,,,,field1 is greater than field2
2024-03-22T00:24:08+00:00,127,60,82,,,,field1 is less than field2
2024-03-22T00:24:29+00:00,128,61,8,,,,field1 is greater than field2
2024-03-22T00:24:49+00:00,129,62,32,,,,field1 is greater than field2
2024-03-22T00:25:10+00:00,130,63,60,,,,field1 is greater than field2
2024-03-22T00:25:30+00:00,131,64,77,,,,field1 is less than field2
2024-03-22T00:25:51+00:00,132,65,85,,,,field1 is less than field2
2024-03-22T00:26:11+00:00,133,66,5,,,,field1 is greater than field2
2024-03-22T00:26:31+00:00,134,67,42,,,,field1 is greater than field2
2024-03-22T00:26:52+00:00,135,68,88,,,,field1 is less than field2
2024-03-22T00:27:12+00:00,136,69,98,,,,field1 is less than field2
2024-03-22T00:27:33+00:00,137,70,93,,,,field1 is less than field2
2024-03-22T00:27:53+00:00,138,71,71,,,,field1 equals field2
2024-03-22T00:28:13+00:00,139,72,1,,,,field1 is greater than field2
2024-03-22T00:28:34+00:00,140,73,56,,,,field1 is greater than field2
2024-03-22T00:28:54+00:00,141,74,60,,,,field1 is greater than field2
2024-03-22T00:29:14+00:00,142,75,73,,,,field1 is greater than field2
2024-03-22T00:29:35+00:00,143,76,8,,,,field1 is greater than field2
2024-03-22T00:29:55+00:00,144,77,50,,,,field1 is greater than field2
2024-03-22T00:30:16+00:00,145,78,45,,,,field1 is greater than field2
2024-03-22T00:30:36+00:00,146,79,57,,,,field1 is greater than field2
2024-03-22T00:30:56+00:00,147,80,60,,,,field1 is greater than field2
2024-03-22T00:31:17+00:00,148,81,52,,,,field1 is greater than field2
2024-03-22T00:31:37+00:00,149,82,88,,,,field1 is less than field2
2024-03-22T00:31:58+00:00,150,83,79,,,,field1 is greater than field2
2024-03-22T00:32:18+00:00,151,84,24,,,,field1 is greater than field2
2024-03-22T00:32:38+00:00,152,85,1,,,,field1 is greater than field2
2024-03-22T00:32:59+00:00,153,86,48,,,,field1 is greater than field2
2024-03-22T00:33:19+00:00,154,87,30,,,,field1 is greater than field2
2024-03-22T00:33:39+00:00,155,88,82,,,,field1 is greater than field2
2024-03-22T00:34:00+00:00,156,89,89,,,,field1 equals field2
2024-03-22T00:34:43+00:00,157,47,21,,,,field1 is greater than field2
2024-03-22T00:35:03+00:00,158,48,67,,,,field1 is less than field2
2024-03-22T00:35:23+00:00,159,49,15,,,,field1 is greater than field2
2024-03-22T00:35:44+00:00,160,50,8,,,,field1 is greater than field2
2024-03-22T00:36:05+00:00,161,51,42,,,,field1 is greater than field2
2024-03-22T00:36:25+00:00,162,52,78,,,,field1 is less than field2
2024-03-22T00:36:46+00:00,163,53,11,,,,field1 is greater than field2
2024-03-22T00:37:06+00:00,164,54,17,,,,field1 is greater than field2
2024-03-22T00:37:27+00:00,165,55,62,,,,field1 is less than field2
2024-03-22T00:37:47+00:00,166,56,84,,,,field1 is less than field2
2024-03-22T00:38:07+00:00,167,57,28,,,,field1 is greater than field2
2024-03-22T00:38:28+00:00,168,58,83,,,,field1 is less than field2
2024-03-22T00:38:48+00:00,169,59,47,,,,field1 is greater than field2
2024-03-22T00:39:09+00:00,170,60,66,,,,field1 is less than field2
2024-03-22T00:39:29+00:00,171,61,16,,,,field1 is greater than field2
2024-03-22T00:39:50+00:00,172,62,75,,,,field1 is less than field2
2024-03-22T00:40:10+00:00,173,63,69,,,,field1 is less than field2
2024-03-22T00:40:30+00:00,174,64,16,,,,field1 is greater than field2
2024-03-22T00:40:51+00:00,175,65,49,,,,field1 is greater than field2
2024-03-22T00:41:11+00:00,176,66,4,,,,field1 is greater than field2
2024-03-22T00:41:32+00:00,177,67,88,,,,field1 is less than field2
2024-03-22T00:41:52+00:00,178,68,51,,,,field1 is greater than field2
2024-03-22T00:42:12+00:00,179,69,99,,,,field1 is less than field2
2024-03-22T00:42:33+00:00,180,70,14,,,,field1 is greater than field2
2024-03-22T00:42:53+00:00,181,71,35,,,,field1 is greater than field2
2024-03-22T00:43:14+00:00,182,72,22,,,,field1 is greater than field2
2024-03-22T00:43:34+00:00,183,73,87,,,,field1 is less than field2
2024-03-22T00:43:54+00:00,184,74,28,,,,field1 is greater than field2
2024-03-22T00:44:15+00:00,185,75,33,,,,field1 is greater than field2
2024-03-22T00:44:35+00:00,186,76,84,,,,field1 is less than field2
2024-03-22T00:44:55+00:00,187,77,35,,,,field1 is greater than field2
2024-03-22T00:45:16+00:00,188,78,5,,,,field1 is greater than field2
2024-03-22T00:45:36+00:00,189,79,29,,,,field1 is greater than field2
2024-03-22T00:45:57+00:00,190,80,54,,,,field1 is greater than field2
2024-03-22T00:46:17+00:00,191,81,2,,,,field1 is greater than field2
2024-03-22T00:46:37+00:00,192,82,75,,,,field1 is greater than field2
2024-03-22T00:46:58+00:00,193,83,7,,,,field1 is greater than field2
2024-03-22T00:47:18+00:00,194,84,0,,,,field1 is greater than field2
2024-03-22T00:47:39+00:00,195,85,22,,,,field1 is greater than field2
2024-03-22T00:47:59+00:00,196,86,62,,,,field1 is greater than field2
2024-03-22T00:48:19+00:00,197,87,87,,,,field1 equals field2
2024-03-22T00:48:40+00:00,198,88,15,,,,field1 is greater than field2
2024-03-22T00:49:00+00:00,199,89,14,,,,field1 is greater than field2
2024-03-22T00:49:20+00:00,200,90,83,,,,field1 is greater than field2
2024-03-22T00:49:41+00:00,201,91,50,,,,field1 is greater than field2
2024-03-22T00:50:01+00:00,202,92,88,,,,field1 is greater than field2
2024-03-22T00:50:22+00:00,203,93,61,,,,field1 is greater than field2
2024-03-22T00:50:42+00:00,204,94,82,,,,field1 is greater than field2
2024-03-22T00:51:03+00:00,205,95,85,,,,field1 is greater than field2
2024-03-22T00:51:23+00:00,206,96,40,,,,field1 is greater than field2
2024-03-22T00:51:43+00:00,207,97,54,,,,field1 is greater than field2
2024-03-22T00:52:04+00:00,208,98,7,,,,field1 is greater than field2
2024-03-22T00:52:24+00:00,209,99,25,,,,field1 is greater than field2
2024-03-22T00:52:45+00:00,210,0,14,,,,field1 is less than field2
2024-03-22T00:53:05+00:00,211,1,80,,,,field1 is less than field2
2024-03-22T00:53:26+00:00,212,2,0,,,,field1 is greater than field2
2024-03-22T00:53:46+00:00,213,3,49,,,,field1 is less than field2
2024-03-22T00:54:07+00:00,214,4,31,,,,field1 is less than field2
2024-03-22T00:54:27+00:00,215,5,58,,,,field1 is less than field2
2024-03-22T00:54:48+00:00,216,6,73,,,,field1 is less than field2
2024-03-22T00:55:08+00:00,217,7,1,,,,field1 is greater than field2
2024-03-22T00:55:28+00:00,218,8,5,,,,field1 is greater than field2
2024-03-22T00:55:49+00:00,219,9,67,,,,field1 is less than field2
2024-03-22T00:56:09+00:00,220,10,62,,,,field1 is less than field2
2024-03-22T00:56:30+00:00,221,11,36,,,,field1 is less than field2
2024-03-22T00:56:50+00:00,222,12,10,,,,field1 is greater than field2
2024-03-22T00:57:11+00:00,223,13,68,,,,field1 is less than field2
2024-03-22T00:57:31+00:00,224,14,65,,,,field1 is less than field2
2024-03-22T00:57:51+00:00,225,15,11,,,,field1 is greater than field2
2024-03-22T00:58:12+00:00,226,16,27,,,,field1 is less than field2
2024-03-22T00:58:32+00:00,227,17,97,,,,field1 is less than field2
2024-03-22T00:58:53+00:00,228,18,8,,,,field1 is greater than field2
2024-03-22T00:59:13+00:00,229,19,46,,,,field1 is less than field2
2024-03-22T00:59:34+00:00,230,20,97,,,,field1 is less than field2
2024-03-22T00:59:54+00:00,231,21,38,,,,field1 is less than field2
2024-03-22T01:00:14+00:00,232,22,33,,,,field1 is less than field2
2024-03-22T01:00:35+00:00,233,23,29,,,,field1 is less than field2
2024-03-22T01:00:56+00:00,234,24,81,,,,field1 is less than field2
2024-03-22T01:01:17+00:00,235,25,43,,,,field1 is less than field2
2024-03-22T01:01:37+00:00,236,26,13,,,,field1 is greater than field2
2024-03-22T01:01:58+00:00,237,27,69,,,,field1 is less than field2
2024-03-22T01:02:18+00:00,238,28,67,,,,field1 is less than field2
2024-03-22T01:02:39+00:00,239,29,87,,,,field1 is less than field2
2024-03-22T01:02:59+00:00,240,30,82,,,,field1 is less than field2
2024-03-22T01:04:03+00:00,241,28.00000,25.69,,,,Temperatura Normal
2024-03-22T01:04:20+00:00,242,28.00000,25.69,,,,Temperatura Normal
2024-03-22T01:04:46+00:00,243,31.00000,25.69,,,,Temperatura Relativamente Alta
2024-03-22T01:05:12+00:00,244,30.00000,25.69,,,,Temperatura Normal
2024-03-22T01:05:35+00:00,245,29.00000,25.69,,,,Temperatura Normal
2024-03-22T01:05:59+00:00,246,29.00000,26.8,,,,Temperatura Normal
2024-03-22T01:06:22+00:00,247,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:06:47+00:00,248,42,24,,,,field1 is greater than field2
2024-03-22T01:07:07+00:00,249,43,28,,,,field1 is greater than field2
2024-03-22T01:07:28+00:00,250,44,75,,,,field1 is less than field2
2024-03-22T01:07:48+00:00,251,45,44,,,,field1 is greater than field2
2024-03-22T01:08:09+00:00,252,46,7,,,,field1 is greater than field2
2024-03-22T01:08:29+00:00,253,47,32,,,,field1 is greater than field2
2024-03-22T01:08:49+00:00,254,48,0,,,,field1 is greater than field2
2024-03-22T01:09:10+00:00,255,49,77,,,,field1 is less than field2
2024-03-22T01:09:30+00:00,256,50,57,,,,field1 is less than field2
2024-03-22T01:09:51+00:00,257,51,56,,,,field1 is less than field2
2024-03-22T01:10:11+00:00,258,52,57,,,,field1 is less than field2
2024-03-22T01:10:48+00:00,259,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:11:12+00:00,260,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:11:36+00:00,261,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:11:55+00:00,262,1,17,,,,field1 is less than field2
2024-03-22T01:12:11+00:00,263,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:12:36+00:00,264,3,29,,,,field1 is less than field2
2024-03-22T01:12:54+00:00,265,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:13:17+00:00,266,5,72,,,,field1 is less than field2
2024-03-22T01:13:37+00:00,267,6,53,,,,field1 is less than field2
2024-03-22T01:13:54+00:00,268,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:14:12+00:00,269,14,24,,,,field1 is less than field2
2024-03-22T01:14:30+00:00,270,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:14:53+00:00,271,16,35,,,,field1 is less than field2
2024-03-22T01:15:14+00:00,272,17,16,,,,field1 is greater than field2
2024-03-22T01:15:37+00:00,273,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:15:56+00:00,274,12,19,,,,field1 is less than field2
2024-03-22T01:16:13+00:00,275,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:16:37+00:00,276,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:16:57+00:00,277,15,32,,,,field1 is less than field2
2024-03-22T01:17:18+00:00,278,16,11,,,,field1 is greater than field2
2024-03-22T01:17:36+00:00,279,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:17:59+00:00,280,18,55,,,,field1 is less than field2
2024-03-22T01:18:20+00:00,281,19,52,,,,field1 is less than field2
2024-03-22T01:18:36+00:00,282,30.00000,26.8,,,,Temperatura Normal
2024-03-22T01:19:01+00:00,283,29.00000,26.8,,,,Temperatura Normal
2024-03-22T01:19:27+00:00,284,29.00000,26.8,,,,Temperatura Normal
2024-03-22T01:19:52+00:00,285,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:20:16+00:00,286,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:20:39+00:00,287,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:21:02+00:00,288,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:21:26+00:00,289,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:22:19+00:00,290,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:22:43+00:00,291,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:23:07+00:00,292,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:23:31+00:00,293,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:23:47+00:00,294,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:24:11+00:00,295,0.00000,26.8,,,,Temperatura Relativamente Baja
2024-03-22T01:24:34+00:00,296,0.00000,26.8,,,,Temperatura Relativamente Baja
2024-03-22T01:25:23+00:00,297,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:25:47+00:00,298,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:26:10+00:00,299,0.00000,26.8,,,,Temperatura Relativamente Baja
2024-03-22T01:26:34+00:00,300,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:26:57+00:00,301,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:27:20+00:00,302,27.00000,26.8,,,,Temperatura Normal
2024-03-22T01:27:44+00:00,303,27.00000,26.8,,,,Temperatura Normal
2024-03-22T01:28:07+00:00,304,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:28:31+00:00,305,27.00000,26.8,,,,Temperatura Normal
2024-03-22T01:28:54+00:00,306,27.00000,26.8,,,,Temperatura Normal
2024-03-22T01:29:18+00:00,307,27.00000,26.8,,,,Temperatura Normal
2024-03-22T01:29:41+00:00,308,27.00000,26.8,,,,Temperatura Normal
2024-03-22T01:30:08+00:00,309,27.00000,26.8,,,,Temperatura Normal
2024-03-22T01:30:32+00:00,310,27.00000,26.8,,,,Temperatura Normal
2024-03-22T01:31:23+00:00,311,27.00000,0.0,,,,Temperatura Normal
2024-03-22T01:31:47+00:00,312,27.00000,0.0,,,,Temperatura Normal
2024-03-22T01:32:10+00:00,313,27.00000,0.0,,,,Temperatura Normal
2024-03-22T01:32:33+00:00,314,28.00000,0.0,,,,Temperatura Normal
2024-03-22T01:32:57+00:00,315,28.00000,0.0,,,,Temperatura Normal
2024-03-22T01:33:31+00:00,316,28.00000,0.0,,,,Temperatura Normal
2024-03-22T01:33:54+00:00,317,28.00000,0.0,,,,Temperatura Normal
2024-03-22T01:34:17+00:00,318,28.00000,0.0,,,,Temperatura Normal
2024-03-22T01:34:41+00:00,319,28.00000,0.0,,,,Temperatura Normal
2024-03-22T01:35:04+00:00,320,29.00000,0.0,,,,Temperatura Normal
2024-03-22T01:35:49+00:00,321,28.00000,0.0,,,,Temperatura Normal
2024-03-22T01:36:12+00:00,322,28.00000,0.0,,,,Temperatura Normal
2024-03-22T01:36:35+00:00,323,28.00000,0.0,,,,Temperatura Normal
2024-03-22T01:36:58+00:00,324,28.00000,0.0,,,,Temperatura Normal
2024-03-22T01:37:21+00:00,325,28.00000,0.0,,,,Temperatura Normal
2024-03-22T01:38:05+00:00,326,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:38:29+00:00,327,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:38:52+00:00,328,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:39:16+00:00,329,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:39:39+00:00,330,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:40:05+00:00,331,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:40:29+00:00,332,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:40:52+00:00,333,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:41:16+00:00,334,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:41:39+00:00,335,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:42:03+00:00,336,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:42:26+00:00,337,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:42:49+00:00,338,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:43:12+00:00,339,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:43:36+00:00,340,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:43:59+00:00,341,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:44:22+00:00,342,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:44:46+00:00,343,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:45:09+00:00,344,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:45:32+00:00,345,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:45:55+00:00,346,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:46:19+00:00,347,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:46:42+00:00,348,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:47:06+00:00,349,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:47:29+00:00,350,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:47:52+00:00,351,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:48:15+00:00,352,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:49:08+00:00,353,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:49:31+00:00,354,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:50:14+00:00,355,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:50:37+00:00,356,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:51:00+00:00,357,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:51:23+00:00,358,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:51:47+00:00,359,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:52:10+00:00,360,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:52:33+00:00,361,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:52:56+00:00,362,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:53:20+00:00,363,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:53:43+00:00,364,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:54:27+00:00,365,28.00000,21.77,,,,Temperatura Normal
2024-03-22T01:55:04+00:00,366,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:55:28+00:00,367,28.00000,26.8,,,,Temperatura Normal
2024-03-22T01:55:52+00:00,368,28.00000,21.77,,,,Temperatura Normal
2024-03-22T01:56:16+00:00,369,28.00000,21.77,,,,Temperatura Normal
2024-03-22T01:56:40+00:00,370,28.00000,21.77,,,,Temperatura Normal
2024-03-22T01:57:04+00:00,371,28.00000,21.77,,,,Temperatura Normal
2024-03-22T01:57:27+00:00,372,28.00000,21.77,,,,Temperatura Normal
2024-03-22T01:57:52+00:00,373,28.00000,21.77,,,,Temperatura Normal
2024-03-22T01:58:16+00:00,374,28.00000,21.77,,,,Temperatura Normal
2024-03-22T01:58:40+00:00,375,28.00000,21.77,,,,Temperatura Normal
2024-03-22T01:59:04+00:00,376,28.00000,21.77,,,,Temperatura Normal
2024-03-22T01:59:28+00:00,377,28.00000,21.77,,,,Temperatura Normal
2024-03-22T01:59:51+00:00,378,28.00000,21.77,,,,Temperatura Normal
